title,field,description
Drug Manufacturer Contact Info Data Dictionary,tc_address_1,Technical Contact Address Line 1
Drug Manufacturer Contact Info Data Dictionary,tc_address_2,Technical Contact Address Line 2
Drug Manufacturer Contact Info Data Dictionary,tc_address_3,Technical Contact Address Line 3
Drug Manufacturer Contact Info Data Dictionary,tc_city,Technical City
Drug Manufacturer Contact Info Data Dictionary,tc_state,Technical State
Drug Manufacturer Contact Info Data Dictionary,tc_zip,X(9)
Drug Manufacturer Contact Info Data Dictionary,tc_phone,X(14)
Drug Manufacturer Contact Info Data Dictionary,tc_email_address,Technical Contact Email Address
Drug Manufacturer Contact Info Data Dictionary,active_indicator,"0=Old, 1=Currently Active"
Medicaid Enrollment - New Adult Group - Data Dictionary-12112024,state,"State of the United States, the District of Columbia, the Commonwealth of Puerto Rico, the Commonwealth of the Northern Mariana Islands, American Samoa, Guam, and the Virgin Islands. It includes any agency, instrumentality, or fiscal agent of a State that is legally and fiscally dependent on the State Executive, State Treasurer, or State Comptroller."
Medicaid Enrollment - New Adult Group - Data Dictionary-12112024,total_medicaid_enrollees,Total unduplicated number of individuals enrolled in Medicaid at any time during each month in the quarterly reporting period as reported by the state on the Form CMS 64.Enroll.
Medicaid Enrollment - New Adult Group - Data Dictionary-12112024,total_viii_group_enrollees,Total unduplicated number of individuals enrolled in the Adult Group (VIII Group) at any time during each month in the quarterly reporting period as reported by the state on the Form CMS 64.Enroll. The population is described in federal regulation 42 CFR 435.119.
Medicaid Enrollment - New Adult Group - Data Dictionary-12112024,total_viii_group_newly_eligible_enrollees,Total unduplicated number of individuals enrolled in the Adult Group (VIII Group) as Newly Eligible individuals at any time during each month in the quarterly reporting period as reported by the state on the Form CMS 64.Enroll as defined in federal regulation at 42 CFR 433.204(a)(1).
Medicaid Enrollment - New Adult Group - Data Dictionary-12112024,total_viii_group_not_newly_eligibile_enrollees,Total unduplicated number of individuals enrolled in the Adult Group (VIII Group) as Not Newly Eligible individuals at any time during each month in the quarterly reporting period as reported by the state on the Form CMS 64.Enroll as determined under the Threshold methodology at 42 CFR 433.206.
Quality Measures 2018 Dictionary,state,The state that reported the measure.
Quality Measures 2018 Dictionary,domain,Domain of the Core Set under which the measure is categorized.
Quality Measures 2018 Dictionary,reporting_program,The Core Set (Child or Adult) for which the state reported the measure.
Quality Measures 2018 Dictionary,measure_name,Full name of the Core Set measure.
Quality Measures 2018 Dictionary,measure_abbreviation,Abbreviation of the Core Set measure.
Quality Measures 2018 Dictionary,rate_definition,Full description of the measure's rate.
Quality Measures 2018 Dictionary,ffy,The Federal Fiscal Year (FFY) for which the state reported the measure
Quality Measures 2018 Dictionary,population,Population that the state reported is included in the measure
Quality Measures 2018 Dictionary,methodology,The data collection method the state used to calculate the measure
Quality Measures 2018 Dictionary,state_rate,Rate reported by the state
Quality Measures 2018 Dictionary,number_of_states_reporting,The number of states that reported the rate for the reporting year using Core Set specifications.
Quality Measures 2018 Dictionary,median,The median of the rates reported by states.
Quality Measures 2018 Dictionary,bottom_quartile,The bottom quartile of the rates reported by states.
Quality Measures 2018 Dictionary,top_quartile,The top quartile of the rates reported by states.
Quality Measures 2018 Dictionary,notes,"Provides context on the non-numeric values in the state_rate field (#, NR), if these values are populated for the state's rate."
Quality Measures 2018 Dictionary,source,Describes the source of the data.
Quality Measures 2018 Dictionary,state_specific_comments,"Context on the state's reported data, including comments from the state on the measure."
Quality Measures 2018 Dictionary,rate_used_in_calculating_state_mean_and_median,Indicates whether the state's rate was used to calculate the state  mean and median.
Medicaid CMS-64 FFCRA Increased FMAP Expenditure data dictionary,quarter_end_date,Quarter End Date
NADAC First Time Rates,drug_product,"Primarily based on active ingredient(s), strength, dosage form, and route of administration of a drug group. In most cases, NDCs for drugs that are pharmaceutically equivalent are assigned to the same drug group. In some cases, additional parameters are included in defining a drug group. For example, package size is included as an additional delineation when there is a demonstrated variation in acquisition prices between package sizes for drugs in which the most cost effective package size cannot be purchased and easily repackaged for dispensing (e.g., topical creams and ointments)."
NADAC First Time Rates,brief_indicationdescription,Short descrition of the indications for which the drug product is utilized for.
NADAC First Time Rates,drug_class,"Drug class is based on whether a prescription is required for dispensing a drug product. If a prescription is required, the NDC is referred to as 'legend'. If a prescription is not required, the NDC is referred to as 'over-the-counter', or 'OTC'."
NADAC First Time Rates,package_size,"While most NADAC drug groupings will consist of all package sizes available, a separate NADAC rate may be calculated for package sizes within a drug grouping when the pricing unit is 'ML (milliliter)' or 'GM (gram)' and when there is a demonstrated variation in acquisition costs between package sizes for drugs in which the most cost effective package size cannot be purchased and easily repackaged for dispensing (e.g., topical creams and ointments). Drug forms with kits will also be evaluated for pricing per package size. These situations require the use of differential NADAC drug groupings that vary by package size. These NADAC rates are calculated for unique drug grouping / classification for rate setting / pharmacy type / package size combinations."
NADAC First Time Rates,ncpdp_billing_unit_standard,The standard billing unit type for the drug product as outlined in the National Council for Prescription Drug Programs (NCPDP) database.
NADAC First Time Rates,nadac_rate,The NADAC for the corresponding generic drug.
NADAC First Time Rates,number_of_active_ndcs_within_the_rategroup_that_are_on_the__0bb0,The total number of National Drug Codes (NDCs) within the rate group.
NADAC First Time Rates,primary_reason_code,"Describes the primary reason for the NADAC Per Unit change, see explanation below for each reason:   Survey Rate: The NADAC Per Unit has been updated using information from the most recently completed pharmacy survey.   WAC Adjustment: The NADAC Per Unit has been updated to reflect changes in published pricing.   Help Desk Adjustment: The NADAC Per Unit has been updated as a result of an inquiry to the help desk.   Brand Generic Change: The NADAC Per Unit has been updated as a result of a change in the Classification for Rate Setting.   Rate Group Change: The NADAC Per Unit has been updated due to placement into a new NADAC drug grouping because of a change in the NDC attributes."
NADAC First Time Rates,as_of_date,Date the rate group first appeared on the NADAC.
NADAC First Time Rates,classification_for_rate_setting,"Indicates whether the NDC was considered brand ('B') or generic ('G') for the NADAC rate calculation process. If the NDC was considered brand ('B') and approved under an Abbreviated New Drug Application (ANDA), the indicator is shown as ('B-ANDA'). NDCs approved as biosimilar products are considered brand ('B') and will be designated as ('B-BIO')."
Medicaid CMS-64 FFCRA Increased FMAP Expenditure - Data Dictionary-12112024,state,"State of the United States, the District of Columbia, the Commonwealth of Puerto Rico, the Commonwealth of the Northern Mariana Islands, American Samoa, Guam, and the Virgin Islands. It includes any agency, instrumentality, or fiscal agent of a State that is legally and fiscally dependent on the State Executive, State Treasurer, or State Comptroller. "
Medicaid CMS-64 FFCRA Increased FMAP Expenditure - Data Dictionary-12112024,total_computable_all_medical_assistance_expenditures,The federal funds (federal financial participation) and state funds paid by the state for providing Medicaid services and administering the Medicaid program. 
Medicaid CMS-64 FFCRA Increased FMAP Expenditure - Data Dictionary-12112024,total_federal_share_all_medical_assistance_expenditures,The federal financial participation paid to a state for providing Medicaid services and administering the Medicaid program.
Medicaid CMS-64 FFCRA Increased FMAP Expenditure - Data Dictionary-12112024,total_federal_share_ffcra_sections_6008_and_6004,The federal financial participation related to only the Families First Coronavirus Response Act (FFCRA) Sections 6008 and 6004 paid to a state for providing Medicaid services and administering the Medicaid program.
Medicaid CMS-64 FFCRA Increased FMAP Expenditure - Data Dictionary-12112024,total_federal_share_section_6008_expenditures_(6.2_percentage_point_fmap_increase),The federal financial participation related to only the temporary 6.2 percentage point  increase authorized by  FFCRA Section 6008 paid to a state for providing Medicaid services. 
Medicaid CMS-64 FFCRA Increased FMAP Expenditure - Data Dictionary-12112024,total_federal_share_section_6004:_covid-19_test_group_map_+_adm_expenditures_(100%_federal_match),The federal financial participation related to only the temporary 100 percentage point FMAP increase of FFCRA Section 6004 (COVID-19 Test Group MAP + ADM Expenditures) paid to a state for providing Medicaid services and administering the Medicaid program.
Medicaid CMS-64 FFCRA Increased FMAP Expenditure - Data Dictionary-12112024,total_federal_share_section_6004:_covid-19_test_group_map_expenditures_(100%_federal_match),The federal financial participation related to only the temporary 100 percentage point increase authorized by FFCRA Section 6004  (COVID-19 Test Group MAP Expenditures) paid to a state for providing Medicaid services.
Medicaid CMS-64 FFCRA Increased FMAP Expenditure - Data Dictionary-12112024,total_federal_share_section_6004:_covid-19_test_group_adm_expenditures_(100%_federal_match),The federal financial participation related to only the temporary 100 percentage point FMAP increase of FFCRA Section 6004  (COVID-19 Test Group ADM Expenditures) paid to a state for providing Medicaid services and administering the Medicaid program.
Medicaid CMS-64 FFCRA Increased FMAP Expenditure - Data Dictionary-12112024,quarter_end_date,Quarter End Date
Medicaid Financial Management Data - Data Dictionary-12112024,service_category,The services defined in Section 1905 of Social Security Act (SSA) and 42 CFR 440 as line item from the Form CMS-64  that states use to report their expenditures and request federal financial participation (FFP).
Medicaid Financial Management Data - Data Dictionary-12112024,total_computable,The federal funds (federal financial participation) and state funds paid by the state for providing Medicaid services and administering the Medicaid program.
Medicaid Financial Management Data - Data Dictionary-12112024,federal_share,The federal financial participation paid to a state for providing Medicaid services and administering the Medicaid program.
Medicaid Financial Management Data - Data Dictionary-12112024,federal_share_medicaid,The federal financial participation related to only Medicaid paid to a state for providing Medicaid services and administering the Medicaid program.
Medicaid Financial Management Data - Data Dictionary-12112024,federal_share_arra,The federal financial participation related to only the American Recovery and Reinvestment Act of 2009 (ARRA) paid to a state for providing Medicaid services and administering the Medicaid program.
Medicaid Financial Management Data - Data Dictionary-12112024,federal_share_covid,"The federal financial participation related to only the Families First Coronavirus Response Act (FFCRA) Sections 6008 and 6004 and the Consolidated Appropriations Act (CAA), 2023 Section 5131 paid to a state for providing Medicaid services and administering the Medicaid program."
Medicaid Financial Management Data - Data Dictionary-12112024,state_share,The non-federal share of Medicaid expenditures.
Quality Measures 2014-2015 Data Dictionary,state,The state that reported the measure.
Quality Measures 2014-2015 Data Dictionary,domain,Domain of the Core Set under which the measure is categorized.
Quality Measures 2014-2015 Data Dictionary,reporting_program,The Core Set (Child or Adult) for which the state reported the measure.
Quality Measures 2014-2015 Data Dictionary,measure_name,Full name of the Core Set measure.
Quality Measures 2014-2015 Data Dictionary,measure_abbreviation,Abbreviation of the Core Set measure.
Quality Measures 2014-2015 Data Dictionary,measure_description,Full description of the measure's rate.
Quality Measures 2014-2015 Data Dictionary,ffy,The Federal Fiscal Year (FFY) for which the state reported the measure.
Quality Measures 2014-2015 Data Dictionary,population,Population that the state reported is included in the measure.
Quality Measures 2014-2015 Data Dictionary,methodology,The data collection method the state used to calculate the measure.
Quality Measures 2014-2015 Data Dictionary,state_rate,Rate reported by the state.
Quality Measures 2014-2015 Data Dictionary,number_of_states_reporting,The number of states that reported the rate for the reporting year using Core Set specifications.
Quality Measures 2014-2015 Data Dictionary,median,The median of the rates reported by states.
Quality Measures 2014-2015 Data Dictionary,25th_percentile,The 25th percentile of the rates reported by states.
Quality Measures 2014-2015 Data Dictionary,75th_percentile,The 75th percentile of the rates reported by states.
Quality Measures 2014-2015 Data Dictionary,notes,"Provides context on the non-numeric values in the state_rate field (#, NR), if these values are populated for the state's rate."
Quality Measures 2014-2015 Data Dictionary,source,Describes the source of the data.
Quality Measures 2014-2015 Data Dictionary,location,Coordinates for the state.
Medicaid Financial Management Data – National Totals  - Data Dictionary-12112024,service_category,The services defined in Section 1905 of Social Security Act (SSA) and 42 CFR 440 as line item from the Form CMS-64  that states use to report their expenditures and request federal financial participation (FFP).
Medicaid Financial Management Data – National Totals  - Data Dictionary-12112024,total_computable,The federal funds (federal financial participation) and state funds paid by the state for providing Medicaid services and administering the Medicaid program.
Medicaid Financial Management Data – National Totals  - Data Dictionary-12112024,federal_share,The federal financial participation paid to a state for providing Medicaid services and administering the Medicaid program.
Medicaid Financial Management Data – National Totals  - Data Dictionary-12112024,federal_share_medicaid,The federal financial participation related to only Medicaid paid to a state for providing Medicaid services and administering the Medicaid program.
Medicaid Financial Management Data – National Totals  - Data Dictionary-12112024,federal_share_arra,The federal financial participation related to only the American Recovery and Reinvestment Act of 2009 (ARRA) paid to a state for providing Medicaid services and administering the Medicaid program.
Medicaid Financial Management Data – National Totals  - Data Dictionary-12112024,federal_share_bipp,"The federal financial participation related to only the Families First Coronavirus Response Act (FFCRA) Sections 6008 and 6004 and the Consolidated Appropriations Act (CAA), 2023 Section 5131 paid to a state for providing Medicaid services and administering the Medicaid program."
Medicaid Financial Management Data – National Totals  - Data Dictionary-12112024,state_share,The non-federal share of Medicaid expenditures.
State Contact Information Data Dictionary,state,State Abbreviation code.
State Contact Information Data Dictionary,state_agency_name,The name of the State Medicaid Agency.
State Contact Information Data Dictionary,technical_contact_name,The name of the State's Technical Contact for the Medicaid Drug Rebate Program.
State Contact Information Data Dictionary,technical_street_address,The street address for the State's Technical Contact for the Medicaid Drug Rebate Program.
State Contact Information Data Dictionary,technical_city_name,The city for the State's Technical Contact for the Medicaid Drug Rebate Program.
State Contact Information Data Dictionary,technical_state_code,The state code for the State's Technical Contact for the Medicaid Drug Rebate Program.
State Contact Information Data Dictionary,technical_zip_code,The zip code for the State's Technical Contact for the Medicaid Drug Rebate Program.
State Contact Information Data Dictionary,technical_phone_area_code,The phone number area code for the State's Technical Contact for the Medicaid Drug Rebate Program.
State Contact Information Data Dictionary,technical_phone_number,The phone number for the State's Technical Contact for the Medicaid Drug Rebate Program.
State Contact Information Data Dictionary,technical_fax_area_code,The fax number area code for the State's Technical Contact for the Medicaid Drug Rebate Program.
State Contact Information Data Dictionary,technical_fax_number,The fax number for the State's Technical Contact for the Medicaid Drug Rebate Program.
State Contact Information Data Dictionary,technical_agent_name,The Agency/Office/Corporation for the State's Technical Contact for the Medicaid Drug Rebate Program.
State Contact Information Data Dictionary,technical_email_address,The email address for the State's Technical Contact for the Medicaid Drug Rebate Program.
State Contact Information Data Dictionary,rebate_contact_name,The name of the State's Rebate Contact for the Medicaid Drug Rebate Program.
State Contact Information Data Dictionary,rebate_street_address,The street address for the State's Rebate Contact for the Medicaid Drug Rebate Program.
State Contact Information Data Dictionary,rebate_city_name,The city for the State's Rebate Contact for the Medicaid Drug Rebate Program.
State Contact Information Data Dictionary,rebate_state_code,The state code for the State's Rebate Contact for the Medicaid Drug Rebate Program.
State Contact Information Data Dictionary,rebate_zip_code,The zip code for the State's Rebate Contact for the Medicaid Drug Rebate Program.
State Contact Information Data Dictionary,rebate_phone_area_code,The phone number area code for the State's Rebate Contact for the Medicaid Drug Rebate Program.
State Contact Information Data Dictionary,rebate_phone_number,The phone number for the State's Rebate Contact for the Medicaid Drug Rebate Program.
State Contact Information Data Dictionary,rebate_fax_area_code,The fax number area code for the State's Rebate Contact for the Medicaid Drug Rebate Program.
State Contact Information Data Dictionary,rebate_fax_number,The fax number for the State's Rebate Contact for the Medicaid Drug Rebate Program.
State Contact Information Data Dictionary,rebate_agent_name,The Agency/Office/Corporation for the State's Rebate Contact for the Medicaid Drug Rebate Program.
State Contact Information Data Dictionary,rebate_email_address,The email address for the State's Rebate Contact for the Medicaid Drug Rebate Program.
State Contact Information Data Dictionary,policy_contact_name,The name of the State's Policy Contact for the Medicaid Drug Policy Program.
State Contact Information Data Dictionary,policy_street_address,The street address for the State's Policy Contact for the Medicaid Drug Policy Program.
State Contact Information Data Dictionary,policy_city_name,The city for the State's Policy Contact for the Medicaid Drug Policy Program.
State Contact Information Data Dictionary,policy_state_code,The state code for the State's Policy Contact for the Medicaid Drug Policy Program.
State Contact Information Data Dictionary,policy_zip_code,The zip code for the State's Policy Contact for the Medicaid Drug Policy Program.
State Contact Information Data Dictionary,policy_phone_area_code,The phone number area code for the State's Policy Contact for the Medicaid Drug Policy Program.
State Contact Information Data Dictionary,policy_phone_number,The phone number for the State's Policy Contact for the Medicaid Drug Policy Program.
State Contact Information Data Dictionary,policy_fax_area_code,The fax number area code for the State's Policy Contact for the Medicaid Drug Policy Program.
State Contact Information Data Dictionary,policy_fax_number,The fax number for the State's Policy Contact for the Medicaid Drug Policy Program.
State Contact Information Data Dictionary,policy_agent_name,The Agency/Office/Corporation for the State's Policy Contact for the Medicaid Drug Policy Program.
State Contact Information Data Dictionary,policy_email_address,The email address for the State's Policy Contact for the Medicaid Drug Policy Program.
AMP Reporting Monthly Data Dictionary,labeler_name,Name of labeler as it appears on the signed rebate agreement. Alpha-numeric values; first 40 letters of labeler name; left-justified; blank-filled.
AMP Reporting Monthly Data Dictionary,ndc,"The 11 digit identifier of the drug product.  The first 5 digits reflect the labeler code, the next 4 digits reflects the product code and the last 2 digits reflect the package size for the product."
AMP Reporting Monthly Data Dictionary,fda_product_name,Drug name as it appears on FDA SPL listing. Alpha-numeric values; 63-character field; left-justified; blank-filled for FDA Product Names fewer than 63 characters.
AMP Reporting Monthly Data Dictionary,status,"The AMP per unit per product code only for the month/year covered, based on sales. If no AMP has been reported the value will be 'NR'.  If  AMP has been reported, the value will be 'R'."
AMP Reporting Monthly Data Dictionary,year,NA
AMP Reporting Monthly Data Dictionary,month,NA
Quality Measures 2016-2017 Data Dictionary,state,The state that reported the measure.
Quality Measures 2016-2017 Data Dictionary,domain,Domain of the Core Set under which the measure is categorized.
Quality Measures 2016-2017 Data Dictionary,reporting_program,The Core Set (Child or Adult) for which the state reported the measure.
Quality Measures 2016-2017 Data Dictionary,measure_name,Full name of the Core Set measure.
Quality Measures 2016-2017 Data Dictionary,measure_abbreviation,Abbreviation of the Core Set measure.
Quality Measures 2016-2017 Data Dictionary,rate_definition,Full description of the measure's rate.
Quality Measures 2016-2017 Data Dictionary,ffy,The Federal Fiscal Year (FFY) for which the state reported the measure.
Quality Measures 2016-2017 Data Dictionary,population,Population that the state reported is included in the measure.
Quality Measures 2016-2017 Data Dictionary,methodology,The data collection method the state used to calculate the measure.
Quality Measures 2016-2017 Data Dictionary,state_rate,Rate reported by the state.
Quality Measures 2016-2017 Data Dictionary,number_of_states_reporting,The number of states that reported the rate for the reporting year using Core Set specifications.
Quality Measures 2016-2017 Data Dictionary,median,The median of the rates reported by states.
Quality Measures 2016-2017 Data Dictionary,bottom_quartile,The bottom quartile of the rates reported by states.
Quality Measures 2016-2017 Data Dictionary,top_quartile,The top quartile of the rates reported by states.
Quality Measures 2016-2017 Data Dictionary,notes,"Provides context on the non-numeric values in the state_rate field (#, NR), if these values are populated for the state's rate."
Quality Measures 2016-2017 Data Dictionary,state_specific_comments,NA
Quality Measures 2016-2017 Data Dictionary,source,Describes the source of the data.
Quality Measures 2016-2017 Data Dictionary,location,Coordinates for the state.
NADAC Comparison Data Dictionary,ndc_description,"Identifies the drug name, strength, and dosage form of the drug product."
NADAC Comparison Data Dictionary,ndc,"The National Drug Code (NDC) is a numerical code maintained by the FDA that includes the labeler code, product code, and package code. The NDC is an 11-digit code."
NADAC Comparison Data Dictionary,old_nadac_per_unit,The National Average Drug Acquisition Cost per pricing unit from the previous NADAC reference file.
NADAC Comparison Data Dictionary,new_nadac_per_unit,The National Average Drug Acquisition Cost per pricing unit from the current NADAC reference file.
NADAC Comparison Data Dictionary,classification_for_rate_setting,"Indicates whether the NDC was considered brand ('B') or generic ('G') for the NADAC rate calculation process. If the NDC was considered brand ('B') and approved under an Abbreviated New Drug Application (ANDA), the indicator is shown as ('B-ANDA'). NDCs approved as biosimilar products are considered brand ('B') and will be designated as ('B-BIO')."
NADAC Comparison Data Dictionary,percent_change,"The difference between the New NADAC Per Unit and the Old NADAC Per Unit, divided by the Old NADAC Per Unit."
NADAC Comparison Data Dictionary,primary_reason,"Describes the primary reason for the NADAC Per Unit change, see explanation below for each reason:   Survey Rate:  The NADAC Per Unit has been updated using information from the most recently completed pharmacy survey.   WAC Adjustment:  The NADAC Per Unit has been updated to reflect changes in published pricing.   Help Desk Adjustment:  The NADAC Per Unit has been updated as a result of an inquiry to the help desk.   Brand Generic Change:  The NADAC Per Unit has been updated as a result of a change in the Classification for Rate Setting.   Rate Group Change: The NADAC Per Unit has been updated due to placement into a new NADAC drug grouping because of a change in the NDC attributes."
NADAC Comparison Data Dictionary,start_date,The start date indicates the inital NADAC file utilized in the comparison.
NADAC Comparison Data Dictionary,end_date,The end date indicates the latest date NADAC file utilized in the comparison
NADAC Comparison Data Dictionary,effective_date,The effective date indicates the new effective date for the NADAC rate.
Federal Upper Limits Data Dictionary,product_group,"The following methodology forms a Product Group:   Include all innovator (I) and non-innovator (N) pharmaceutically and therapeutically equivalent (A-rated) multiple source drugs when calculating the weighted average of monthly AMPs in a FUL Product Group;   Will not include single source (S) drugs when calculating the weighted average of monthly AMPs in a FUL Product Group;   Will not include formulations of the drug that are not rated by the FDA as pharmaceutically and therapeutically equivalent to the reference listed drug, (A-rated) in the calculation of the weighted average of monthly AMPs, or apply the FUL to those formulations that are not A-rated, e.g., B-rated drugs;   Will use the monthly AMP and AMP units reported and certified by manufacturers to calculate the weighted average of monthly AMPs in a FUL Product Group; and,   Will not include the AMP of a terminated drug in the weighted average of monthly AMPs."
Federal Upper Limits Data Dictionary,ingredient,The order of ingredients presented in the product labeleling.
Federal Upper Limits Data Dictionary,strength,The strengths presented in the product labeleling.
Federal Upper Limits Data Dictionary,dosage,The dosage form of the drug.
Federal Upper Limits Data Dictionary,route,The route of administration of the drug.
Federal Upper Limits Data Dictionary,mdr_unit_type,The unit type reported to the CMS Medicaid Drug Rebate Program.
Federal Upper Limits Data Dictionary,weighted_average_amps,The calculated weighted average of the monthly amps for the group.
Federal Upper Limits Data Dictionary,aca_ful,The calculated Federal Upper Limit (FUL) for the group.
Federal Upper Limits Data Dictionary,package_size,Identifies the number of billing units in the package quantity from which the pharmacist dispenses.
Federal Upper Limits Data Dictionary,ndc,"The National Drug Code (NDC) is a numerical code maintained by the FDA that includes the labeler code, product code, and package code."
Federal Upper Limits Data Dictionary,arated,"Identifies if the drug is an A-rated drug, (Yes or No)."
Federal Upper Limits Data Dictionary,multiplier_greater_than_175_percent_of_weighted_avg_of_amps,"ACA FUL equals the most current average retail community pharmacies' acquisition cost (NADAC) = Y   ACA FUL equals 175 percent of the weighted average of the most recently reported monthly AMPs = N   Note: All NDC-11s for a FUL Product Group are included in this file; however, only the (I) and (N), A-rated, multiple source drugs are used to calculate the weighted average of the most recently reported monthly AMPs in a FUL Product Group."
Federal Upper Limits Data Dictionary,year,The year in which the FUL was calculated.
Federal Upper Limits Data Dictionary,month,The month in which the FUL was calculated.
AMP Reporting Quarterly Data Dictionary,labeler_name,Name of labeler as it appears on the signed rebate agreement. Alpha-numeric values; first 40 letters of labeler name; left-justified; blank-filled.
AMP Reporting Quarterly Data Dictionary,ndc,"The 11 digit identifier of the drug product.  The first 5 digits reflect the labeler code, the next 4 digits reflects the product code and the last 2 digits reflect the package size for the product."
AMP Reporting Quarterly Data Dictionary,fda_product_name,Drug name as it appears on FDA SPL listing. Alpha-numeric values; 63-character field; left-justified; blank-filled for FDA Product Names fewer than 63 characters.
AMP Reporting Quarterly Data Dictionary,status,"The AMP per unit per product code only for the month/year covered, based on sales. If no AMP has been reported the value will be 'NR'.  If  AMP has been reported, the value will be 'R'."
AMP Reporting Quarterly Data Dictionary,year,NA
AMP Reporting Quarterly Data Dictionary,quarter,NA
Quality Measures 2019-2022 Data Dictionary,state,The state that reported the measure
Quality Measures 2019-2022 Data Dictionary,domain,Domain of the Core Set under which the measure is categorized
Quality Measures 2019-2022 Data Dictionary,reporting_program,The Core Set (Child or Adult) for which the state reported the measure
Quality Measures 2019-2022 Data Dictionary,measure_name,Full name of the Core Set measure
Quality Measures 2019-2022 Data Dictionary,measure_abbreviation,Abbreviation of the Core Set measure
Quality Measures 2019-2022 Data Dictionary,measure_type,Indicates whether a higher or lower rate is better for the measure
Quality Measures 2019-2022 Data Dictionary,rate_definition,Full description of the measure's rate
Quality Measures 2019-2022 Data Dictionary,ffy,The Federal Fiscal Year (FFY) for which the state reported the measure
Quality Measures 2019-2022 Data Dictionary,population,Population that the state reported is included in the measure
Quality Measures 2019-2022 Data Dictionary,methodology,The data collection method the state used to calculate the measure
Quality Measures 2019-2022 Data Dictionary,state_rate,Rate reported by the state
Quality Measures 2019-2022 Data Dictionary,number_of_states_reporting,The number of states that reported the rate for the reporting year using Core Set specifications
Quality Measures 2019-2022 Data Dictionary,median,The median of the rates reported by states
Quality Measures 2019-2022 Data Dictionary,bottom_quartile,The bottom quartile of the rates reported by states
Quality Measures 2019-2022 Data Dictionary,top_quartile,The top quartile of the rates reported by states
Quality Measures 2019-2022 Data Dictionary,notes,"Provides context on the non-numeric values in the state_rate field (DS, #, NR), if these values are populated for the state's rate"
Quality Measures 2019-2022 Data Dictionary,source,Describes the source of the data
Quality Measures 2019-2022 Data Dictionary,statespecific_comments,"Context on the state's reported data, including comments from the state on the measure."
Quality Measures 2019-2022 Data Dictionary,rate_used_in_calculating_state_mean_and_median,Indicates whether the state's rate was used to calculate the state  mean and median
Newly Reported Drugs Data Dictionary,ndc1,"Labeler Code - First segment of National Drug Code (NDC1) that identifies the manufacturer, labeler, relabeler, packager, repackager or distributor of the drug."
Newly Reported Drugs Data Dictionary,ndc2,Product Code - Second segment of National Drug Code (NDC2)
Newly Reported Drugs Data Dictionary,ndc3,Package Size - Third segment of National Drug Code (NDC3)
Newly Reported Drugs Data Dictionary,labeler_name,Labeler Name: Name of labeler as it appears on the signed rebate agreement.
Newly Reported Drugs Data Dictionary,labeler_status,Labeler Status: Active or Terminated
Newly Reported Drugs Data Dictionary,fda_name,"The FDA Name should reflect the drug's name as reported to FDA; therefore, the FDA Name reported to CMS should correspond to the drug name on file with the FDA."
Newly Reported Drugs Data Dictionary,cod_status,Covered Outpatient Drug (COD) Status: A category that identifies whether or not a product meets the statutory definition of a covered outpatient drug in accordance with sections 1927(k)(2) to 1927(k)(4) of the Social Security Act. Numeric values; 8-digit field; format: MMDDYYYY. Valid Values: 01 = Abbreviated New Drug Application (ANDA) 02 = Biological License Application (BLA) 03 = New Drug Application (NDA) 04 = NDA Authorized Generic 05 = DESI 5* - LTE/IRS drug for all indications 06 = DESI 6* - LTE/IRS drug withdrawn from market 07 = Prescription Pre-Natal Vitamin or Fluoride 08 = Prescription Dietary Supplement/Vitamin/Mineral (Other than Prescription Pre-Natal Vitamin or Fluoride) 09 = OTC Monograph Tentative 10 = OTC Monograph Final 11 = Unapproved Drug - Drug Shortage 12 = Unapproved Drug - Per 1927(k)(2)(A)(ii) 13 = Unapproved Drug - Per 1927(k)(2)(A)(iii) Spaces = The Labeler has not reported this field to the Medicaid Drug Rebate Program. * NDCs with a COD Status of DESI 5/6 are not eligible for coverage or rebates under the Medicaid Drug Rebate Program.
Newly Reported Drugs Data Dictionary,fda_application_number,"FDA Application Number/OTC Monograph Number: For drugs with a COD status of ANDA, BLA, NDA, or NDA Authorized Generic, this is the application number (assigned by the FDA for approval to market a drug or biological in the United States) under which the NDC is currently marketed. Numeric values; 7-digit field; padded with leading zeros as needed. For drugs with a COD status of OTC Monograph Tentative or Final, this is the FDA's regulatory citation for the OTC. Alpha-numeric values; 7-digit field. For drugs with a COD Status of OTC Monograph Final, the first four characters are a constant of PART; the last three characters are the numeric values for the appropriate regulatory citation for the product (e.g., 225). For drugs with a COD Status of OTC Monograph Tentative, the first four characters are a constant of PART; the last three characters are the numeric values for the appropriate regulatory citation for the product, or three zeros if a Monograph Number is not available. For drugs with a COD Status other than ANDA, BLA, NDA, NDA Authorized Generic, OTC Monograph Final, or OTC Monograph Tentative, the FDA Application Number/OTC Monograph Number field should be zero-filled."
Newly Reported Drugs Data Dictionary,drug_category,"Drug Category: This field indicates whether the drug is single source (S), innovator multiple source (I), or non-innovator multiple source (N). 1-character field. Valid Values: N = Non-innovator multiple source S = Single source I = Innovator multiple source"
Newly Reported Drugs Data Dictionary,drug_type,Drug Type: Identifies a drug as prescription (Rx) or Over-the-Counter (OTC). Numeric values; 1-digit field. Valid Values: 1 = Rx 2 = OTC
